artist_id,artist_name,total_artist_albums,artist_link
1,Al Stewart,54,https://www.discogs.com/artist/148394-Al-Stewart
2,Band Aid,2,https://www.discogs.com/artist/136704-Band-Aid
3,Barbra Streisand,58,https://www.discogs.com/artist/53248-Barbra-Streisand
4,Bee Gees,32,https://www.discogs.com/artist/97664-Bee-Gees
5,Blackmore's Rainbow,34,https://www.discogs.com/artist/245648-Rainbow
6,"Blood, Sweat And Tears",21,https://www.discogs.com/artist/168907-Blood-Sweat-And-Tears
7,Bon Iver,4,https://www.discogs.com/artist/1042739-Bon-Iver
8,Bowie,87,https://www.discogs.com/artist/10263-David-Bowie
9,Bread,12,https://www.discogs.com/artist/303471-Bread
10,Bryan Adams,48,https://www.discogs.com/artist/10933-Bryan-Adams
11,Cannonball Adderley,70,https://www.discogs.com/artist/61585-Cannonball-Adderley
12,Carole King,31,https://www.discogs.com/artist/266352-Carole-King
13,Chic,16,https://www.discogs.com/artist/9081-Chic
14,Daft Punk,8,https://www.discogs.com/artist/1289-Daft-Punk
15,Elvis Presley,396,https://www.discogs.com/artist/27518-Elvis-Presley
